commit type,modified directories count
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,2
Multi-lang,2
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,2
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,2
Multi-lang,1
Multi-lang,1
Multi-lang,2
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,3
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,5
Normal,1
Normal,1
Normal,1
Normal,3
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,3
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,2
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,5
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,2
Normal,1
Normal,1
Normal,2
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,3
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,3
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,4
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Multi-lang,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,2
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,2
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,3
Normal,2
Normal,2
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,2
Normal,2
Normal,2
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,2
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,3
Normal,1
Normal,2
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,2
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,2
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,2
Normal,2
Multi-lang,2
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,2
Multi-lang,2
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,2
Multi-lang,2
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,1
Multi-lang,2
Multi-lang,2
Normal,2
Normal,1
Normal,2
Normal,3
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,2
Multi-lang,1
Multi-lang,1
Multi-lang,3
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,3
Multi-lang,1
Normal,2
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,2
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,3
Normal,2
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Multi-lang,1
Multi-lang,2
Normal,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,3
Normal,1
Multi-lang,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,5
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,3
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,2
Normal,2
Multi-lang,2
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Multi-lang,2
Normal,1
Multi-lang,5
Normal,1
Normal,2
Multi-lang,4
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,3
Multi-lang,2
Normal,1
Multi-lang,1
Multi-lang,3
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,3
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,2
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,2
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,2
Normal,1
Multi-lang,3
Multi-lang,1
Multi-lang,1
Multi-lang,3
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,3
Multi-lang,2
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Multi-lang,2
Multi-lang,1
Normal,2
Normal,1
Multi-lang,3
Multi-lang,1
Normal,2
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,3
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,2
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,2
Normal,1
Multi-lang,1
Multi-lang,3
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,3
Multi-lang,1
Multi-lang,1
Normal,1
Normal,3
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,2
Normal,2
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,3
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,3
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,3
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,3
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Normal,2
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,1
Normal,6
Normal,6
Normal,1
Normal,6
Normal,1
Multi-lang,1
Normal,1
Normal,2
Normal,3
Multi-lang,3
Normal,1
Multi-lang,1
Normal,1
Normal,2
Multi-lang,4
Multi-lang,1
Multi-lang,1
Multi-lang,2
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,2
Normal,2
Multi-lang,1
Normal,3
Normal,1
Normal,1
Normal,2
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Normal,1
Normal,2
Multi-lang,4
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Multi-lang,1
Normal,1
Normal,1
Multi-lang,1
Multi-lang,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Multi-lang,1
Normal,1
Multi-lang,1
Normal,1
Multi-lang,2
Multi-lang,2
Multi-lang,4
Normal,1
Normal,1
Normal,3
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,3
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Normal,2
Normal,2
Multi-lang,3
Multi-lang,2
Multi-lang,2
Normal,1
Normal,1
Normal,1
Multi-lang,3
Normal,2
Multi-lang,3
Normal,1
Normal,2
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,2
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,2
Multi-lang,3
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,3
Normal,1
Normal,1
Multi-lang,2
Normal,1
Multi-lang,4
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,2
Normal,1
Normal,1
Normal,1
Normal,1
Multi-lang,2
Normal,1
Normal,1
Multi-lang,3
Multi-lang,2
Multi-lang,2
Normal,2
Normal,1
